customer_id,customer_name,gender,age,city,state,signup_date,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment,Purchase_Status
C1001,Amit Shah,Female,58,Siliguri,West Bengal,2025-09-12,56,6,236225.66999999998,4,3,3,433,10,Loyal Customers,Purchased
C1002,Rohit Kapoor,Male,39,Bengaluru,Karnataka,2025-03-22,28,11,260935.8,4,4,4,444,12,Champions,Purchased
C1003,Rohit Gupta,Male,51,Faridabad,Haryana,2023-08-15,32,3,4278.49,4,2,1,421,7,New Customers,Purchased
C1004,Mohit Jain,Female,64,Udaipur,Rajasthan,2025-12-26,27,13,485127.79,4,5,5,455,14,Champions,Purchased
C1005,Aditya Shah,Female,20,Lucknow,Uttar Pradesh,2025-12-22,91,5,251061.89,3,2,4,324,9,Potential Loyalists,Purchased
C1006,Sanjay Kapoor,Male,23,Muzaffarpur,Bihar,2023-02-14,309,2,138663.78,1,1,3,113,5,At Risk,Purchased
C1007,Mohit Chauhan,Female,62,Siliguri,West Bengal,2023-01-29,162,4,194877.47999999998,2,2,3,223,7,At Risk,Purchased
C1008,Shivam Saxena,Female,45,Hyderabad,Telangana,2023-09-26,177,8,160191.06,2,4,3,243,9,At Risk,Purchased
C1009,Suresh Joshi,Female,47,Ghaziabad,Uttar Pradesh,2025-05-19,356,2,49262.600000000006,1,1,1,111,3,Hibernating,Purchased
C1010,Aditi Mehta,Female,34,Bengaluru,Karnataka,2024-10-16,35,5,53690.15,4,2,2,422,8,New Customers,Purchased
C1011,Arjun Joshi,Male,57,Delhi,Delhi,2024-07-15,84,14,448437.32,3,5,5,355,13,Loyal Customers,Purchased
C1012,Sneha Shah,Male,49,Bhopal,Madhya Pradesh,2024-03-30,74,3,166887.05,3,2,3,323,8,Potential Loyalists,Purchased
C1013,Manish Singh,Male,30,Udaipur,Rajasthan,2024-06-09,433,2,69663.18,1,1,2,112,4,Hibernating,Purchased
C1014,Shivam Malhotra,Female,49,Warangal,Telangana,2024-11-29,67,16,667042.4299999999,3,5,5,355,13,Loyal Customers,Purchased
C1015,Priya Kapoor,Female,18,Mangaluru,Karnataka,2023-03-11,,,,,,,,,No Purchase,No Purchase
C1016,Vikas Shah,Female,29,Nashik,Maharashtra,2024-10-04,25,11,821638.4,4,4,5,445,13,Champions,Purchased
