customer_id,customer_name,gender,age,city,state,signup_date
C1001,Amit Shah,Female,58,Siliguri,West Bengal,2025-09-12
C1002,Rohit Kapoor,Male,39,Bengaluru,Karnataka,2025-03-22
C1003,Rohit Gupta,Male,51,Faridabad,Haryana,2023-08-15
C1004,Mohit Jain,Female,64,Udaipur,Rajasthan,2025-12-26
C1005,Aditya Shah,Female,20,Lucknow,Uttar Pradesh,2025-12-22
C1006,Sanjay Kapoor,Male,23,Muzaffarpur,Bihar,2023-02-14
C1007,Mohit Chauhan,Female,62,Siliguri,West Bengal,2023-01-29
C1008,Shivam Saxena,Female,45,Hyderabad,Telangana,2023-09-26
C1009,Suresh Joshi,Female,47,Ghaziabad,Uttar Pradesh,2025-05-19
C1010,Aditi Mehta,Female,34,Bengaluru,Karnataka,2024-10-16
C1011,Arjun Joshi,Male,57,Delhi,Delhi,2024-07-15
C1012,Sneha Shah,Male,49,Bhopal,Madhya Pradesh,2024-03-30
C1013,Manish Singh,Male,30,Udaipur,Rajasthan,2024-06-09
C1014,Shivam Malhotra,Female,49,Warangal,Telangana,2024-11-29
C1015,Priya Kapoor,Female,18,Mangaluru,Karnataka,2023-03-11
C1016,Vikas Shah,Female,29,Nashik,Maharashtra,2024-10-04
C1017,Aditi Srivastava,Female,27,Salem,Tamil Nadu,2023-08-30
C1018,Pooja Malhotra,Male,55,Varanasi,Uttar Pradesh,2025-05-12
C1019,Rakesh Agarwal,Male,53,Warangal,Telangana,2023-08-02
C1020,Sameer Sharma,Male,22,Surat,Gujarat,2023-03-19
C1021,Simran Singh,Male,61,Kolkata,West Bengal,2024-04-21
C1022,Riya Agarwal,Female,57,New Delhi,Delhi,2024-04-27
C1023,Aditi Patel,Female,38,Gaya,Bihar,2024-07-21
C1024,Komal Gupta,Male,28,Faridabad,Haryana,2025-07-30
C1025,Kavya Gupta,Female,38,Kolkata,West Bengal,2025-02-05
C1026,Ananya Verma,Male,46,Pune,Maharashtra,2024-02-02
C1027,Rohit Bansal,Female,48,Hubballi,Karnataka,2025-03-06
C1028,Shreya Bansal,Male,34,Prayagraj,Uttar Pradesh,2024-07-05
C1029,Sneha Agarwal,Female,22,Prayagraj,Uttar Pradesh,2023-09-03
C1030,Rakesh Gupta,Male,47,Jaipur,Rajasthan,2023-01-24
C1031,Shreya Kumar,Male,51,Kolkata,West Bengal,2023-01-05
C1032,Varun Singh,Female,30,Patna,Bihar,2023-09-03
C1033,Divya Agarwal,Male,48,Delhi,Delhi,2025-06-15
C1034,Shreya Sharma,Male,45,Delhi,Delhi,2024-05-22
C1035,Karan Mishra,Male,42,Hubballi,Karnataka,2024-05-09
C1036,Suresh Chauhan,Female,18,Nagpur,Maharashtra,2024-03-12
C1037,Sameer Shah,Male,32,Agra,Uttar Pradesh,2023-10-08
C1038,Meera Saxena,Female,35,Mangaluru,Karnataka,2025-02-21
C1039,Ananya Kumar,Female,58,Aurangabad,Maharashtra,2023-01-14
C1040,Divya Yadav,Female,57,Jodhpur,Rajasthan,2024-11-01
C1041,Pooja Tiwari,Male,59,Mangaluru,Karnataka,2025-10-22
C1042,Shivam Agarwal,Female,40,Warangal,Telangana,2025-08-21
C1043,Divya Joshi,Male,33,Jodhpur,Rajasthan,2024-02-09
C1044,Karan Chauhan,Female,41,Delhi,Delhi,2025-07-24
C1045,Priya Mehta,Male,56,Warangal,Telangana,2023-09-18
C1046,Rakesh Mishra,Female,47,Warangal,Telangana,2023-09-22
C1047,Pooja Shah,Female,46,New Delhi,Delhi,2024-01-12
C1048,Karan Singh,Male,38,Nashik,Maharashtra,2023-01-20
C1049,Kavya Kumar,Male,51,Jodhpur,Rajasthan,2023-10-18
C1050,Shreya Sharma,Male,59,Varanasi,Uttar Pradesh,2025-07-24
C1051,Manish Srivastava,Female,50,Pune,Maharashtra,2025-04-14
C1052,Rohit Malhotra,Male,37,Varanasi,Uttar Pradesh,2023-12-27
C1053,Shivam Yadav,Female,58,Warangal,Telangana,2023-12-09
C1054,Sanjay Verma,Female,63,Jodhpur,Rajasthan,2024-01-16
